verbatimScientificName,countryCode,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Aedes aegypti,MX,21.01,-89.63,0.0,1999,25.78945,13.32235,64.49548,214.2442,36.15049,15.49423,20.65626,27.98199,23.21656,981.65649,162.57719,23.61742,68.15784,457.06039,74.58099,10.0
Aedes aegypti,MX,27.48,-99.51,0.0,1997,22.21616,11.98354,40.05111,668.81671,36.66978,6.74916,29.92062,29.90259,14.97046,511.83008,77.80151,23.134,41.78973,170.45212,77.31565,128.0
Aedes aegypti,MX,18.65,-91.82,0.0,1998,26.49815,10.42405,59.5046,207.90764,35.33651,17.81845,17.51806,28.57364,23.96933,1536.24756,270.7457,24.5373,69.24626,633.9292,107.70329,5.0
Aedes aegypti,MX,25.67,-100.3,0.0,1996,21.33554,13.47901,48.63799,534.9491,34.68302,6.97011,27.71291,27.45995,15.36771,585.48059,152.75031,13.78904,80.25669,280.33704,46.95824,527.0
Aedes aegypti,MX,18.51,-88.3,0.0,1999,25.97682,10.00373,62.7526,190.6291,33.2932,17.35167,15.94153,27.76863,23.7163,1369.93079,204.366,33.18571,54.30666,520.14471,112.40654,11.0
Aedes aegypti,MX,14.9,-92.27,0.0,1999,26.83844,12.81501,74.61306,93.81665,35.00345,17.82816,17.17529,27.80287,25.82793,2635.5166,503.78519,6.78837,88.2612,1298.54004,56.02827,150.0
Aedes aegypti,MX,20.95,-89.64,0.0,1999,25.77691,13.45787,64.57047,215.42508,36.28152,15.43938,20.84214,28.00076,23.18722,1006.5481,166.0015,23.68222,68.98785,472.20361,75.9063,12.0
Aedes aegypti,MX,14.91,-92.24,0.0,1998,26.76808,12.83535,74.35748,94.68382,34.98968,17.728,17.26168,27.75695,25.74253,2661.37988,507.65891,7.21021,87.92743,1309.75208,58.68604,177.5
Aedes aegypti,MX,20.97,-89.67,0.0,1999,25.79704,13.34852,64.41058,215.18713,36.22435,15.50024,20.72411,28.00974,23.21102,978.83051,158.58051,23.05862,68.40252,452.58441,74.31491,10.0
Aedes aegypti,MX,26.38,-99.0,0.0,1998,22.80293,12.81993,43.27801,626.64203,37.1447,7.52243,29.62227,29.79936,16.17635,550.20746,70.88768,16.08223,39.73817,185.85893,83.50559,58.5
Aedes aegypti,MX,17.01,-100.09,0.0,1999,26.42198,10.2457,70.7911,114.33819,32.82146,18.34831,14.47315,27.42886,25.2283,1152.17627,302.26859,0.76868,118.44044,747.12347,4.83284,22.5
Aedes aegypti,MX,24.8,-107.4,0.0,1998,24.92493,15.90968,60.79147,407.70038,36.45446,10.28355,26.17091,29.63037,20.56107,659.2818,179.9902,0.80532,117.68274,475.1922,7.14452,49.5
Aedes aegypti,MX,25.68,-100.37,0.0,1996,20.91639,13.40032,49.47273,516.19086,33.96899,6.88272,27.08627,26.81347,15.13841,486.25723,134.5771,11.34775,84.85086,240.41731,36.683,622.0
Aedes aegypti,MX,27.93,-110.91,0.0,2000,23.68878,15.93322,54.4018,557.45709,38.02028,8.73224,29.28804,30.49861,18.03996,318.76315,88.34682,0.83176,123.82388,247.14432,3.80516,70.5
